Kota/Kabupaten;Tahun;Tanaman;Produksi;Wilayah
Madiun;2020;Mengkudu;30;Kabupaten
Magetan;2020;Mengkudu;2126;Kabupaten
Ngawi;2020;Mengkudu;5838;Kabupaten
Bojonegoro;2020;Mengkudu;21451;Kabupaten
Tuban;2020;Mengkudu;1316;Kabupaten
Lamongan;2020;Mengkudu;27269;Kabupaten
Gresik;2020;Mengkudu;185;Kabupaten
Bangkalan;2020;Mengkudu;16472;Kabupaten
Sampang;2020;Mengkudu;14526;Kabupaten
Pamekasan;2020;Mengkudu;499996;Kabupaten
Sumenep;2020;Mengkudu;104610;Kabupaten
Kediri;2020;Mengkudu;21451;Kota
Blitar;2020;Mengkudu;21451;Kota
Malang;2020;Mengkudu;8346;Kota
Probolinggo;2020;Mengkudu;51;Kota
Pasuruan;2020;Mengkudu;21451;Kota
Mojokerto;2020;Mengkudu;21451;Kota
Madiun;2020;Mengkudu;21451;Kota
Surabaya;2020;Mengkudu;702;Kota
Batu;2020;Mengkudu;21451;Kota
Pacitan;2021;Mengkudu;21793;Kabupaten
Ponorogo;2021;Mengkudu;124351;Kabupaten
Trenggalek;2021;Mengkudu;65534;Kabupaten
Tulungagung;2021;Mengkudu;31398;Kabupaten
Blitar;2021;Mengkudu;43245;Kabupaten
Kediri;2021;Mengkudu;1009370;Kabupaten
Malang;2021;Mengkudu;248863;Kabupaten
Lumajang;2021;Mengkudu;29600;Kabupaten
Jember;2021;Mengkudu;454363;Kabupaten
Banyuwangi;2021;Mengkudu;16479;Kabupaten
Bondowoso;2021;Mengkudu;387;Kabupaten
Situbondo;2021;Mengkudu;3159;Kabupaten
Probolinggo;2021;Mengkudu;5125;Kabupaten
Pasuruan;2021;Mengkudu;22608;Kabupaten
Sidoarjo;2021;Mengkudu;54;Kabupaten
Mojokerto;2021;Mengkudu;26479;Kabupaten
Jombang;2021;Mengkudu;84649;Kabupaten
Nganjuk;2021;Mengkudu;675;Kabupaten
Madiun;2021;Mengkudu;29;Kabupaten
Magetan;2021;Mengkudu;22608;Kabupaten
Ngawi;2021;Mengkudu;10457;Kabupaten
Bojonegoro;2021;Mengkudu;54386;Kabupaten
Tuban;2021;Mengkudu;4256;Kabupaten
Lamongan;2021;Mengkudu;127289;Kabupaten
Gresik;2021;Mengkudu;830;Kabupaten
Bangkalan;2021;Mengkudu;28918;Kabupaten
Sampang;2021;Mengkudu;15213;Kabupaten
Pamekasan;2021;Mengkudu;104844;Kabupaten
Sumenep;2021;Mengkudu;106439;Kabupaten
Kediri;2021;Mengkudu;22608;Kota
Blitar;2021;Mengkudu;22608;Kota
Malang;2021;Mengkudu;10810;Kota
Probolinggo;2021;Mengkudu;10;Kota
Pasuruan;2021;Mengkudu;22608;Kota
Mojokerto;2021;Mengkudu;22608;Kota
Madiun;2021;Mengkudu;22608;Kota
Surabaya;2021;Mengkudu;760;Kota
Batu;2021;Mengkudu;22608;Kota
Pacitan;2018;Temukunci;48609;Kabupaten
Ponorogo;2018;Temukunci;952482;Kabupaten
Trenggalek;2018;Temukunci;90911;Kabupaten
Tulungagung;2018;Temukunci;657;Kabupaten
Blitar;2018;Temukunci;1555;Kabupaten
Kediri;2018;Temukunci;12354.5;Kabupaten
Malang;2018;Temukunci;578986;Kabupaten
Lumajang;2018;Temukunci;9621;Kabupaten
Jember;2018;Temukunci;56160;Kabupaten
Banyuwangi;2018;Temukunci;6171;Kabupaten
Bondowoso;2018;Temukunci;35680;Kabupaten
Situbondo;2018;Temukunci;12354.5;Kabupaten
Probolinggo;2018;Temukunci;1009755;Kabupaten
Pasuruan;2018;Temukunci;12478;Kabupaten
Sidoarjo;2018;Temukunci;12354.5;Kabupaten
Mojokerto;2018;Temukunci;15306;Kabupaten
Jombang;2018;Temukunci;12231;Kabupaten
Nganjuk;2018;Temukunci;12354.5;Kabupaten
Madiun;2018;Temukunci;15636;Kabupaten
Magetan;2018;Temukunci;404;Kabupaten
Ngawi;2018;Temukunci;1400;Kabupaten
Bojonegoro;2018;Temukunci;41202;Kabupaten
Tuban;2018;Temukunci;2154;Kabupaten
Lamongan;2018;Temukunci;4288;Kabupaten
Gresik;2018;Temukunci;48;Kabupaten
Bangkalan;2018;Temukunci;1362;Kabupaten
Sampang;2018;Temukunci;4813;Kabupaten
Pamekasan;2018;Temukunci;554380;Kabupaten
Sumenep;2018;Temukunci;17100;Kabupaten
Kediri;2018;Temukunci;12354.5;Kota
Blitar;2018;Temukunci;12354.5;Kota
Malang;2018;Temukunci;407;Kota
Probolinggo;2018;Temukunci;12354.5;Kota
Pasuruan;2018;Temukunci;12354.5;Kota
Mojokerto;2018;Temukunci;12354.5;Kota
Madiun;2018;Temukunci;12354.5;Kota
Surabaya;2018;Temukunci;12354.5;Kota
Batu;2018;Temukunci;12354.5;Kota
Pacitan;2019;Temukunci;32907;Kabupaten
Ponorogo;2019;Temukunci;1014260;Kabupaten
Trenggalek;2019;Temukunci;114532;Kabupaten
Tulungagung;2019;Temukunci;993;Kabupaten
Blitar;2019;Temukunci;3065;Kabupaten
Kediri;2019;Temukunci;5518;Kabupaten
Malang;2019;Temukunci;237802;Kabupaten
Lumajang;2019;Temukunci;10160;Kabupaten
Jember;2019;Temukunci;33964;Kabupaten
Banyuwangi;2019;Temukunci;5881;Kabupaten
Bondowoso;2019;Temukunci;1962;Kabupaten
Situbondo;2019;Temukunci;5518;Kabupaten
Probolinggo;2019;Temukunci;894764;Kabupaten
Pasuruan;2019;Temukunci;132839;Kabupaten
Sidoarjo;2019;Temukunci;5518;Kabupaten
Mojokerto;2019;Temukunci;3951;Kabupaten
Jombang;2019;Temukunci;5155;Kabupaten
Nganjuk;2019;Temukunci;5518;Kabupaten
Madiun;2019;Temukunci;14512;Kabupaten
Magetan;2019;Temukunci;15;Kabupaten
Ngawi;2019;Temukunci;1000;Kabupaten
Bojonegoro;2019;Temukunci;64455;Kabupaten
Tuban;2019;Temukunci;187;Kabupaten
Lamongan;2019;Temukunci;5038;Kabupaten
Gresik;2019;Temukunci;96;Kabupaten
Bangkalan;2019;Temukunci;1365;Kabupaten
Sampang;2019;Temukunci;2468;Kabupaten
Pamekasan;2019;Temukunci;354000;Kabupaten
Sumenep;2019;Temukunci;15381;Kabupaten
Kediri;2019;Temukunci;5518;Kota
Blitar;2019;Temukunci;5518;Kota
Malang;2019;Temukunci;416;Kota
Probolinggo;2019;Temukunci;5518;Kota
Pasuruan;2019;Temukunci;5518;Kota
Mojokerto;2019;Temukunci;5518;Kota
Madiun;2019;Temukunci;5518;Kota
Surabaya;2019;Temukunci;5518;Kota
Batu;2019;Temukunci;5518;Kota
Pacitan;2020;Temukunci;7518;Kabupaten
Ponorogo;2020;Temukunci;474834;Kabupaten
Trenggalek;2020;Temukunci;68145;Kabupaten
Tulungagung;2020;Temukunci;1293;Kabupaten
Blitar;2020;Temukunci;120;Kabupaten
Kediri;2020;Temukunci;7518;Kabupaten
Malang;2020;Temukunci;210678;Kabupaten
Lumajang;2020;Temukunci;576;Kabupaten
Jember;2020;Temukunci;123338;Kabupaten
Banyuwangi;2020;Temukunci;7346;Kabupaten
Bondowoso;2020;Temukunci;35350;Kabupaten
Situbondo;2020;Temukunci;7518;Kabupaten
Probolinggo;2020;Temukunci;1726286;Kabupaten
Pasuruan;2020;Temukunci;36773;Kabupaten
Sidoarjo;2020;Temukunci;3;Kabupaten
Mojokerto;2020;Temukunci;8449;Kabupaten
Jombang;2020;Temukunci;41519;Kabupaten
Nganjuk;2020;Temukunci;7518;Kabupaten
Madiun;2020;Temukunci;13098;Kabupaten
Magetan;2020;Temukunci;18;Kabupaten
Ngawi;2020;Temukunci;1000;Kabupaten
Bojonegoro;2020;Temukunci;46621;Kabupaten
Tuban;2020;Temukunci;3362;Kabupaten
Lamongan;2020;Temukunci;395;Kabupaten
Gresik;2020;Temukunci;29;Kabupaten
Bangkalan;2020;Temukunci;1677;Kabupaten
Sampang;2020;Temukunci;2466;Kabupaten
Pamekasan;2020;Temukunci;11130;Kabupaten
Sumenep;2020;Temukunci;13428;Kabupaten
Kediri;2020;Temukunci;7518;Kota
Blitar;2020;Temukunci;7518;Kota
Malang;2020;Temukunci;653;Kota
Probolinggo;2020;Temukunci;7518;Kota
Pasuruan;2020;Temukunci;7518;Kota
Mojokerto;2020;Temukunci;7518;Kota
Madiun;2020;Temukunci;7518;Kota
Surabaya;2020;Temukunci;7518;Kota
Batu;2020;Temukunci;7518;Kota
Pacitan;2021;Temukunci;8190;Kabupaten
Ponorogo;2021;Temukunci;284197;Kabupaten
Trenggalek;2021;Temukunci;64743;Kabupaten
Tulungagung;2021;Temukunci;2655;Kabupaten
Blitar;2021;Temukunci;1022;Kabupaten
Kediri;2021;Temukunci;783;Kabupaten
Malang;2021;Temukunci;31991;Kabupaten
Lumajang;2021;Temukunci;5308;Kabupaten
Jember;2021;Temukunci;39267;Kabupaten
Banyuwangi;2021;Temukunci;16006;Kabupaten
Bondowoso;2021;Temukunci;7444;Kabupaten
Situbondo;2021;Temukunci;7444;Kabupaten
Probolinggo;2021;Temukunci;215393;Kabupaten
Pasuruan;2021;Temukunci;116454;Kabupaten
Sidoarjo;2021;Temukunci;7444;Kabupaten
Mojokerto;2021;Temukunci;13287;Kabupaten
Jombang;2021;Temukunci;2078;Kabupaten
Nganjuk;2021;Temukunci;7444;Kabupaten
Madiun;2021;Temukunci;2454;Kabupaten
Magetan;2021;Temukunci;7444;Kabupaten
Ngawi;2021;Temukunci;1761;Kabupaten
Bojonegoro;2021;Temukunci;71848;Kabupaten
Tuban;2021;Temukunci;1434;Kabupaten
Lamongan;2021;Temukunci;215;Kabupaten
Gresik;2021;Temukunci;2139;Kabupaten
Bangkalan;2021;Temukunci;1066;Kabupaten
Sampang;2021;Temukunci;9090;Kabupaten
Pamekasan;2021;Temukunci;20837;Kabupaten
Sumenep;2021;Temukunci;14034;Kabupaten
Kediri;2021;Temukunci;7444;Kota
Blitar;2021;Temukunci;7444;Kota
Malang;2021;Temukunci;915;Kota
Probolinggo;2021;Temukunci;3;Kota
Pasuruan;2021;Temukunci;7444;Kota
Mojokerto;2021;Temukunci;7444;Kota
Madiun;2021;Temukunci;7444;Kota
Surabaya;2021;Temukunci;7444;Kota
Batu;2021;Temukunci;7444;Kota
